Date,A,AAPL,ABBV,ABT,ACGL,ACN,ADBE,ADI,ADM,ADSK,AEE,AEP,AES,AFL,AIG,AIZ,AJG,AKAM,ALB,ALGN,ALL,ALLE,AMAT,AMCR,AMD,AME,AMGN,AMP,AMT,AMZN,ANET,ANSS,AON,AOS,APA,APD,APH,APTV,ARE,ATO,AWK,AXP,GOOG,GOOGL,LNT,MMM,MO,T
2016-01-04,37.941646575927734,23.860584259033203,39.339996337890625,36.23322296142578,21.823122024536133,88.18548583984375,91.97000122070312,45.603240966796875,27.634519577026367,60.310001373291016,33.26065444946289,42.3955192565918,6.886052131652832,23.911590576171875,48.309959411621094,65.54939270019531,34.22208023071289,52.310001373291016,49.617958068847656,64.2699966430664,49.855865478515625,58.50778579711914,16.60619354248047,6.361963272094727,2.7699999809265137,49.62837219238281,121.45260620117188,85.38504028320312,79.03581237792969,31.84950065612793,19.350000381469727,90.0999984741211,83.12776184082031,32.52018737792969,36.51759719848633,96.65760803222656,11.68812370300293,67.02796936035156,67.6668930053711,50.59973907470703,50.96392059326172,59.173828125,37.00113296508789,37.87820816040039,23.43255043029785,89.94023895263672,32.15908432006836,13.302067756652832
2016-01-05,37.81110763549805,23.262651443481445,39.17610549926758,36.22478103637695,21.902362823486328,88.64447784423828,92.33999633789062,45.2681770324707,27.942947387695312,60.38999938964844,33.654869079589844,42.744388580322266,6.980983257293701,23.8792667388916,48.47783660888672,66.64298248291016,34.315704345703125,52.02000045776367,48.85872268676758,64.94999694824219,49.74082565307617,58.44432067871094,16.624176025390625,6.223515033721924,2.75,49.37385940551758,121.32223510742188,85.0492172241211,80.5969009399414,31.68950080871582,19.56999969482422,89.41999816894531,83.63179016113281,32.3385009765625,35.77788162231445,94.92927551269531,11.557150840759277,65.16852569580078,68.60089874267578,50.786338806152344,50.82030487060547,58.263343811035156,37.03804397583008,37.982452392578125,23.537899017333984,90.3322982788086,32.80910873413086,13.395010948181152
2016-01-06,37.978946685791016,22.80741310119629,39.182926177978516,35.92095184326172,21.93722915649414,88.47127532958984,91.0199966430664,43.34151840209961,27.264413833618164,59.540000915527344,33.87130355834961,42.904293060302734,6.740008354187012,23.515621185302734,47.7663459777832,65.76643371582031,33.65169906616211,50.47999954223633,46.72395706176758,64.87000274658203,49.18202209472656,56.91204071044922,15.94087028503418,6.223515033721924,2.509999990463257,48.25215530395508,120.21003723144531,82.15802764892578,80.31083679199219,31.63249969482422,18.38249969482422,88.29000091552734,82.36713409423828,31.69830322265625,31.66830062866211,92.6174087524414,11.283734321594238,63.436771392822266,68.1377182006836,50.94860076904297,50.600616455078125,56.645381927490234,37.08991241455078,37.87272262573242,23.56800079345703,88.51292419433594,33.156524658203125,13.436638832092285
2016-01-07,36.365806579589844,21.844829559326172,39.06685256958008,35.06005859375,21.915040969848633,85.87326049804688,89.11000061035156,42.235782623291016,26.616729736328125,55.97999954223633,33.89448165893555,42.41005325317383,6.572055816650391,23.115612030029297,46.62316131591797,64.288818359375,32.95363235473633,48.189998626708984,44.615962982177734,63.5,48.023353576660156,55.27095413208008,15.473345756530762,6.223515033721924,2.2799999713897705,47.11159896850586,117.34126281738281,79.5534439086914,78.30836486816406,30.39699935913086,17.1875,87.2300033569336,81.1666488647461,30.14972686767578,30.040924072265625,89.5124740600586,10.877050399780273,59.88545227050781,65.88240051269531,50.45371627807617,50.22040939331055,56.13539505004883,36.230525970458984,36.9584846496582,23.31967544555664,86.35660552978516,32.5793571472168,13.219661712646484
2016-01-08,35.983497619628906,21.96034049987793,38.00157928466797,34.32577133178711,21.686826705932617,85.0418701171875,87.8499984741211,41.867191314697266,26.516489028930664,55.060001373291016,33.63167953491211,42.344627380371094,6.666985034942627,22.91358757019043,45.927635192871094,63.50408935546875,32.60459899902344,48.099998474121094,43.77635192871094,64.52999877929688,47.85078811645508,54.1920051574707,15.09572696685791,6.223515033721924,2.140000104904175,46.25383758544922,115.60012817382812,77.759765625,77.0169906616211,30.352500915527344,17.217500686645508,85.4000015258789,79.74617767333984,29.07697868347168,30.12311553955078,89.04859161376953,10.71391773223877,58.72030258178711,64.97874450683594,50.51050567626953,50.41474151611328,55.950748443603516,35.635986328125,36.455230712890625,23.312152862548828,86.06256103515625,32.63540267944336,13.231496810913086
2016-01-11,35.37738800048828,22.315935134887695,36.792903900146484,34.376407623291016,21.6424503326416,85.93387603759766,89.37999725341797,42.86403274536133,26.339149475097656,55.22999954223633,33.639404296875,42.71530532836914,6.593961715698242,23.063093185424805,46.11949920654297,64.61441040039062,32.059783935546875,45.459999084472656,42.9099235534668,61.0,47.6782112121582,53.938133239746094,14.996824264526367,5.966400623321533,2.3399999141693115,45.43375778198242,113.28367614746094,78.34945678710938,77.22132110595703,30.886999130249023,17.002500534057617,85.2699966430664,79.18719482421875,28.324304580688477,28.81627082824707,89.40023040771484,10.631203651428223,60.523895263671875,64.16622924804688,50.68088150024414,50.90480041503906,56.32004928588867,35.71379089355469,36.562965393066406,23.38740348815918,86.04418182373047,33.31903076171875,13.393245697021484
2016-01-12,35.610511779785156,22.639814376831055,37.44845199584961,34.992530822753906,21.43642234802246,87.475341796875,89.81999969482422,43.266136169433594,26.42396354675293,54.790000915527344,33.53117752075195,42.27922439575195,6.389499187469482,23.3540096282959,46.33536148071289,64.93997192382812,32.24705123901367,46.880001068115234,43.72275161743164,61.77000045776367,48.19591522216797,54.50027847290039,15.059765815734863,5.735655784606934,2.390000104904175,45.68827438354492,115.6614990234375,78.75080108642578,77.22132110595703,30.894500732421875,16.6200008392334,86.41000366210938,79.8653335571289,28.717939376831055,29.112167358398438,90.68710327148438,10.897732734680176,59.81362533569336,63.43722152709961,50.372596740722656,50.854095458984375,56.62781524658203,36.21456527709961,37.174949645996094,23.19927406311035,86.28922271728516,33.274200439453125,13.373517036437988
2016-01-13,34.370338439941406,22.057727813720703,35.31623840332031,34.211151123046875,21.205036163330078,85.95984649658203,88.30000305175781,41.96772766113281,25.807125091552734,50.869998931884766,33.345680236816406,42.119319915771484,6.3091721534729,22.994400024414062,45.3040771484375,65.49093627929688,31.497920989990234,45.81999969482422,42.615169525146484,58.86000061035156,47.58781814575195,53.321598052978516,14.565261840820312,5.735655784606934,2.25,44.67024230957031,111.57318115234375,75.68760681152344,75.31694030761719,29.090499877929688,16.177499771118164,84.44999694824219,78.72897338867188,27.35536003112793,29.260108947753906,88.69693756103516,10.695541381835938,55.98300552368164,61.721065521240234,50.08863830566406,50.76960372924805,55.26486587524414,34.94218826293945,35.88962936401367,23.21432876586914,84.978271484375,32.377628326416016,13.310397148132324
2016-01-14,35.06968307495117,22.540151596069336,37.648563385009766,34.9076042175293,21.205036163330078,88.22879791259766,89.80000305175781,42.30278778076172,25.722312927246094,52.650001525878906,33.78627395629883,42.98424530029297,6.462521076202393,23.160062789916992,45.80772018432617,66.22557830810547,32.09383010864258,46.90999984741211,43.6780891418457,59.9900016784668,48.006927490234375,54.609073638916016,15.11370849609375,5.735655784606934,2.2100000381469727,45.23581314086914,117.4793930053711,77.88260650634766,75.3659896850586,29.649999618530273,16.34749984741211,84.9000015258789,80.08526611328125,27.753326416015625,30.435440063476562,88.56975555419922,10.7322998046875,55.40043258666992,61.51603698730469,51.09461212158203,51.437076568603516,55.651771545410156,35.64845275878906,36.47917175292969,23.56424331665039,86.48526000976562,32.62418746948242,13.531314849853516
2016-01-15,34.603458404541016,21.998844146728516,39.5668830871582,34.43198776245117,21.071910858154297,85.968505859375,89.16999816894531,41.73318099975586,24.29585838317871,49.400001525878906,33.63167953491211,42.65717315673828,6.236151218414307,22.873186111450195,44.84040451049805,65.34066009521484,32.0172119140625,44.150001525878906,42.79380798339844,59.86000061035156,47.76861572265625,53.20372009277344,14.457372665405273,5.735655784606934,2.0299999713897705,45.141544342041016,116.05268096923828,76.03157043457031,72.2437744140625,28.509000778198242,16.212499618530273,84.97000122070312,78.8939208984375,27.472156524658203,29.03819465637207,88.15076446533203,10.451988220214844,53.84423828125,60.8705940246582,51.08650588989258,51.09912872314453,55.31763458251953,34.63743591308594,35.43675231933594,23.4852237701416,84.95991516113281,32.0526123046875,13.40902042388916
