Ticker,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BEL.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
ADANIENT.NS,0.001201523656195244,0.00045833794417228567,0.00014970723343171575,0.00012931008505582495,0.00021710099276748128,0.00012760725337486665,0.00023729775774811426,0.00024752955338358155,0.00023061011587244035,0.00014968234826347692,0.00019573544676759015,0.00010789710750265156,0.0001046412079025173,0.00015456930169630852,8.965845730504344e-05,0.000182898223061327,0.00022540144634787405,0.0001120399027613012,0.00013965252936876503,0.0001536115458486019,0.0002876761263842768,8.852524512561829e-05,0.00023204256830597746,0.00024159848566564717,0.00010084841568793826,0.00011108297704303535,0.0001546819962796603,0.0001902112600520203,0.00018955915386200807,0.0001873456363405526,9.546984628621665e-05,0.00014757236839775902,0.00018277345346797376,0.00011519344841154731,0.00017826719568121062,0.0002703258974642929,0.00024705635751491817,0.0001563877983331093,0.00021813632117461372,0.00030821900965179443,0.0002497883574449362,9.409668987200231e-05,0.00013383238621614486,0.00016371395839440015,0.00018572002391617596,0.00019735572841811947,0.00010476538485069854
ADANIPORTS.NS,0.00045833794417228567,0.0005674570038184166,0.00011419322840217483,0.00011122350745527477,0.00018164842519120158,0.00011277650314787884,0.00018184902520516043,0.00018943158207381327,0.00017752701056982003,0.00012304598862955966,0.00014935073030525393,9.306494610516288e-05,7.913508626427051e-05,0.00012163951199712314,7.267650980387993e-05,0.00014481594113184703,0.00017348564056734374,8.318306690283944e-05,0.00011978887819955724,0.0001274421569507527,0.0002246664341630022,6.862969911931848e-05,0.0001860756904638233,0.00018689978768222985,8.098051003776304e-05,9.901535898177588e-05,0.0001306495918324346,0.00016434857449359257,0.0001450585596835112,0.00014419691764902125,6.432544554676499e-05,0.00012027983751446413,0.00014042789461355144,8.801857626532459e-05,0.0001412491333039909,0.00021017743522966565,0.00019952064721296965,0.00010805240885343069,0.00016494562597103385,0.00022646224277288402,0.0001967450073469609,7.292853142048145e-05,0.00011988689767650602,0.00013262785269419053,0.0001371404585775783,0.00015874685884905356,8.224025355074587e-05
APOLLOHOSP.NS,0.00014970723343171575,0.00011419322840217483,0.0004398146843802313,7.991340341018986e-05,0.00010602497794652358,7.513858347504352e-05,0.00012886998487776256,0.00014420705712822886,0.00011892728718116037,6.373487788369365e-05,8.490997031463217e-05,7.994322238098552e-05,8.158851475598926e-05,6.356122221596789e-05,8.402138557721806e-05,9.882288327405002e-05,0.00010214138907027273,6.87050876333006e-05,6.799866719406697e-05,9.064227565131714e-05,0.0001361472111031047,6.540937332972462e-05,0.00010242971241155814,0.000113247185440726,6.55802747434008e-05,6.246057138478047e-05,8.934333611848535e-05,9.308434710826205e-05,9.652308118397207e-05,9.128353600551573e-05,6.910206940005309e-05,5.6810452710493394e-05,7.394322426566365e-05,4.895824735990468e-05,8.27855278731829e-05,9.550778858746507e-05,0.00010499441373950004,9.168922605943951e-05,0.00011428830141804737,0.00012231922285759297,0.00010802339801463177,5.489641625394197e-05,9.30939387991482e-05,8.47887410217023e-05,0.00010477126847080218,0.0001036262805527318,7.486489707547522e-05
ASIANPAINT.NS,0.00012931008505582495,0.00011122350745527477,7.991340341018986e-05,0.00025944882978504445,0.00010507348978835389,7.851148043046006e-05,0.0001194662546846668,0.00012741017426766207,7.924753061871132e-05,7.070650748501123e-05,9.802579234880278e-05,8.724449522096347e-05,4.251393667315387e-05,5.0600067196376464e-05,5.168433776562086e-05,0.00011468613399633893,0.00010703137638257436,5.679261855296629e-05,7.224638592886341e-05,9.064513913201042e-05,9.619591536123936e-05,9.190467896652854e-05,9.895026192924287e-05,0.00011942901278223202,6.01462031756141e-05,5.5098230447549464e-05,9.187784955779335e-05,9.119248163906997e-05,9.565970754138215e-05,0.00011710585145334462,8.219496665752632e-05,5.394489102231892e-05,4.5455272978973665e-05,4.224419432856386e-05,9.082869833652673e-05,8.817044173369416e-05,0.00010486304360416192,5.2957766172994435e-05,0.00010959835517820947,0.00011307540369442855,9.131362635865183e-05,5.100025767486096e-05,6.753333227125984e-05,0.00010219001710541968,9.741749674812284e-05,0.0001195080181463343,5.513464093469294e-05
AXISBANK.NS,0.00021710099276748128,0.00018164842519120158,0.00010602497794652358,0.00010507348978835389,0.00047375546902360014,0.00011567673311578678,0.00021648418889079777,0.00022542813800494329,0.0001642516849409063,0.00010828596288444143,0.00015461616444485077,8.851955297885265e-05,7.599153988281394e-05,0.00011126466425587745,6.268393078403699e-05,0.0001657565135561945,0.00018266270573969053,7.355279696159758e-05,0.0001476641572625875,0.00012158625803465136,0.00022216918772391747,7.917811363169595e-05,0.0002978059873297012,0.00028793751656668243,8.534580457371652e-05,9.237017659610659e-05,0.00016403085039753946,0.00018434531405930112,0.0001636683379907692,0.00017080079442657455,6.181553882049567e-05,0.00011248317020970373,0.00012645670114127706,8.36529640720521e-05,0.00013684042461199002,0.0002658422456012249,0.00026656897594990603,8.899209010517073e-05,0.00014362853623738607,0.00022805249107601754,0.00018908717457192392,6.675402679812294e-05,0.00010507816578797951,0.0001374072844735476,0.00014367424135558265,0.00015827423720515393,8.004800991447308e-05
BAJAJ-AUTO.NS,0.00012760725337486665,0.00011277650314787884,7.513858347504352e-05,7.851148043046006e-05,0.00011567673311578678,0.000256002132824195,0.00011523670921167012,0.0001262915249318369,7.955652482279116e-05,8.614026833242532e-05,9.294572888853018e-05,6.893532369694455e-05,5.690013419220555e-05,6.53880372338136e-05,6.051987596143718e-05,0.0001344772391793525,0.00011022841680721234,5.219957441960594e-05,8.504442111352427e-05,0.0001670702301726068,0.00013472241184357822,6.614185311054949e-05,0.00010503954831814612,0.000133461361554536,5.6066159685202115e-05,6.566330193669288e-05,9.035389885108375e-05,9.873929412879253e-05,0.00012739096708264534,0.00013275845317020592,5.2300343992553115e-05,6.600541083776241e-05,8.955115648632955e-05,5.39950563136281e-05,8.913636777545708e-05,0.00010341232284394553,0.0001124217590503792,6.6942496259316e-05,9.479121492686211e-05,0.0001562424162506084,0.00010479484602497053,5.373709402179011e-05,5.622311006476544e-05,9.786328769134146e-05,9.437988093343541e-05,9.764484869552093e-05,6.020949486966527e-05
BAJAJFINSV.NS,0.00023729775774811426,0.00018184902520516043,0.00012886998487776256,0.0001194662546846668,0.00021648418889079777,0.00011523670921167012,0.0004686952932110634,0.00036370824991546595,0.00016310529438612136,0.00011428578077526499,0.00015877225137038735,0.00011313185576024908,6.407621891851826e-05,0.0001001662889435864,5.497737457197196e-05,0.00016662784446355293,0.00017492764008262765,6.913325339186725e-05,0.0001399567683996322,0.00012879043972365223,0.00020804848787249746,7.704750929536362e-05,0.00019639025332122924,0.0002566783434036752,8.004904053696565e-05,9.755698903541232e-05,0.00015509477211828455,0.00015487699889835213,0.00016105059511978666,0.00015854923213664624,7.133697991254733e-05,0.00010151903389130414,0.00011314562983592273,7.616975074655295e-05,0.00013375206777384237,0.00019218866819938724,0.0002382333496364916,9.317609971824972e-05,0.00016212607784930392,0.00020414015044532157,0.00018371044604056723,6.435300573663018e-05,0.00010270660091603087,0.00014665945601316892,0.00015966171947650896,0.00015428470443129523,7.703008978231289e-05
BAJFINANCE.NS,0.00024752955338358155,0.00018943158207381327,0.00014420705712822886,0.00012741017426766207,0.00022542813800494329,0.0001262915249318369,0.00036370824991546595,0.0005493849204513651,0.00017330366146176888,0.00011641905077983853,0.00015832907898141513,0.00012233505106532498,6.101521710065593e-05,9.748769910413413e-05,5.270145067710106e-05,0.00018949097872280652,0.0001742466344237708,7.061176520433633e-05,0.0001559441379782941,0.0001380105994381929,0.00019852165381739126,9.158408445702637e-05,0.00021297433059829635,0.000272144516105293,9.286229834503315e-05,9.132063880280351e-05,0.0001814216099409696,0.0001610184090374718,0.00017156086634820928,0.0001814621178695121,7.61401734846049e-05,0.00010275659104671922,0.0001170516553175948,7.437796937659014e-05,0.00014170319320562548,0.0002091357428705459,0.0002812149704347505,8.962559578585671e-05,0.00017670648731407307,0.0002266854047753005,0.00017608834550944516,7.138926827801065e-05,0.00010885651335472596,0.00015186381115869457,0.00017895251590043721,0.0001595737554345418,7.688056917221715e-05
BEL.NS,0.00023061011587244035,0.00017752701056982003,0.00011892728718116037,7.924753061871132e-05,0.0001642516849409063,7.955652482279116e-05,0.00016310529438612136,0.00017330366146176888,0.0005322747418898154,9.600392369396296e-05,0.00015943866368781608,7.766526432953647e-05,8.30304127154735e-05,0.0001379722325833357,5.54208596306313e-05,0.00014032228194933805,0.00015634723061817463,6.143546348401627e-05,8.661013932754345e-05,0.00010350166002240801,0.00020029448411858176,5.72552369678902e-05,0.00015441671110678605,0.00014714196625260966,5.7307226343716426e-05,9.51696813471582e-05,9.41652933667722e-05,0.00015375664407136336,0.00013595847938637593,0.0001327913558900733,5.131195042659183e-05,0.00012301780217501197,0.00016760362498142913,9.321031257068405e-05,0.00012300456232530702,0.00018179978749423205,0.0001960349596241478,9.211978960806534e-05,0.00015537189647414808,0.00022355658348033043,0.00017193362961892978,5.315288381191595e-05,8.85841587643749e-05,0.00012464136063060683,0.00012087749849539881,0.00013026981834558509,6.142720830139314e-05
BHARTIARTL.NS,0.00014968234826347692,0.00012304598862955966,6.373487788369365e-05,7.070650748501123e-05,0.00010828596288444143,8.614026833242532e-05,0.00011428578077526499,0.00011641905077983853,9.600392369396296e-05,0.00037384775598267437,9.179602245389215e-05,5.1295040344918334e-05,5.9942621424839405e-05,6.095348492756888e-05,4.162031023189208e-05,9.823894988555345e-05,0.00013349309629128795,5.924609449757369e-05,7.95856964874839e-05,8.996291998985421e-05,0.0001433699057736209,5.5103308096101614e-05,0.00011361953473006471,0.00013109246619160138,6.239320416756569e-05,7.112282930723073e-05,7.415787950922297e-05,9.677764689359316e-05,0.00010068348185885456,9.241129346451581e-05,4.6090838019699425e-05,7.33550238237057e-05,8.657021188249939e-05,6.293543771218768e-05,9.352466638440878e-05,0.00011782804385184137,0.00012444202283296056,6.727719612047305e-05,9.865055606359938e-05,0.00013845973169508284,0.00010838469597638401,4.929414692133211e-05,6.48846916502613e-05,7.499627738559416e-05,8.111281739931992e-05,0.00010473901825498403,4.956597454369636e-05
