Ticker,0
ADANIENT.NS,0.5746061333785079
ADANIPORTS.NS,0.2097745902763083
APOLLOHOSP.NS,0.2432138969029697
ASIANPAINT.NS,0.21202913556515124
AXISBANK.NS,0.153037363406723
BAJAJ-AUTO.NS,0.1765209324558364
BAJAJFINSV.NS,0.35236033752742696
BAJFINANCE.NS,0.41795133608473506
BEL.NS,0.2938255566745507
BHARTIARTL.NS,0.18250531171739565
BPCL.NS,0.19884287849356974
BRITANNIA.NS,0.2441778984632122
CIPLA.NS,0.11893927071233883
COALINDIA.NS,0.12901130223164708
DRREDDY.NS,0.13550926141283215
EICHERMOT.NS,0.18107640273468228
GRASIM.NS,0.20858108897202016
HCLTECH.NS,0.2085201358128246
HDFCBANK.NS,0.17832262167785806
HEROMOTOCO.NS,0.10147848834946843
HINDALCO.NS,0.24178810674278797
HINDUNILVR.NS,0.184393943122101
ICICIBANK.NS,0.1913888932024018
INDUSINDBK.NS,0.16602689467395665
INFY.NS,0.19239708146474407
ITC.NS,0.13496293855099867
KOTAKBANK.NS,0.16213327903338048
LT.NS,0.1967331511836506
M&M.NS,0.17316523982763649
MARUTI.NS,0.17763388308941644
NESTLEIND.NS,0.20578817930436996
NTPC.NS,0.1881685694297293
ONGC.NS,0.09486204635169113
POWERGRID.NS,0.20013254359394597
RELIANCE.NS,0.2590545070406951
SBIN.NS,0.1484120050582471
SHRIRAMFIN.NS,0.18456112577697167
SUNPHARMA.NS,0.10121073345910879
TATACONSUM.NS,0.2858249902604052
TATAMOTORS.NS,0.14415979186338507
TATASTEEL.NS,0.36501129272445254
TCS.NS,0.16829646771706278
TECHM.NS,0.1469506600864408
TITAN.NS,0.3106732835272209
TRENT.NS,0.4066566454773664
ULTRACEMCO.NS,0.19710121773696865
WIPRO.NS,0.13208143854573667
