Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BEL.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
2015-01-01,70.62840270996094,303.2409973144531,1085.12255859375,693.5422973632812,486.8747253417969,1892.1280517578125,127.96598052978516,339.664306640625,24.750398635864258,310.6490173339844,62.999759674072266,806.0494995117188,592.910888671875,165.6727294921875,477.0492248535156,1319.6138916015625,497.1161193847656,311.9206237792969,440.3433532714844,2365.069580078125,147.74713134765625,649.7760620117188,291.4945983886719,764.6310424804688,383.1192321777344,182.79714965820312,625.51513671875,850.5123291015625,558.096923828125,3038.004150390625,550.0076904296875,77.94108581542969,139.66897583007812,50.88274002075195,186.2826385498047,285.50042724609375,940.9378662109375,764.9074096679688,133.63677978515625,489.917236328125,13.854480743408203,1086.7994384765625,505.08892822265625,359.55731201171875,144.08587646484375,2564.179443359375,194.48422241210938
2015-01-02,70.9743423461914,303.05126953125,1087.0020751953125,717.5197143554688,497.76300048828125,1891.819091796875,126.87689971923828,334.23406982421875,24.626619338989258,312.48944091796875,62.056026458740234,826.7564697265625,594.5621337890625,166.41380310058594,478.66888427734375,1304.016357421875,510.7328186035156,311.6197509765625,446.4718017578125,2359.509521484375,149.28567504882812,647.6344604492188,299.7686462402344,768.3035888671875,390.6480712890625,183.36973571777344,631.9512939453125,868.451171875,552.502685546875,3055.146240234375,551.1873168945312,79.00801849365234,141.75961303710938,51.4951286315918,185.78961181640625,286.6369323730469,944.138671875,768.675048828125,135.2329559326172,503.0386962890625,14.07028579711914,1101.2728271484375,507.5611877441406,362.3973083496094,142.81790161132812,2640.84033203125,196.20933532714844
2015-01-05,72.14907836914062,307.27423095703125,1090.615966796875,717.4732666015625,500.9085388183594,1898.72509765625,125.19104766845703,333.360595703125,24.161394119262695,305.5556640625,62.17638397216797,827.32861328125,597.251220703125,165.7599334716797,467.8218078613281,1309.94775390625,512.6542358398438,306.3783264160156,442.7023010253906,2375.7314453125,146.25523376464844,651.3609619140625,300.38916015625,771.3168334960938,387.2911376953125,184.0916748046875,629.41650390625,880.5330810546875,549.7055053710938,3135.35302734375,551.4832763671875,78.78915405273438,143.36312866210938,51.550785064697266,183.7545166015625,284.3638916015625,914.6903076171875,769.1402587890625,135.6320037841797,514.833251953125,14.2741060256958,1084.536865234375,499.0929870605469,365.3321838378906,142.98306274414062,2646.2333984375,196.5614013671875
2015-01-06,71.60134887695312,305.4236755371094,1058.13671875,700.3467407226562,483.00335693359375,1883.9105224609375,122.29672241210938,332.4967956542969,23.841846466064453,303.1589050292969,61.55043029785156,828.230712890625,579.654541015625,165.62916564941406,455.51104736328125,1275.8253173828125,493.1055908203125,298.1959228515625,435.81072998046875,2295.76416015625,143.0382537841797,663.6978759765625,287.6470947265625,751.8243408203125,379.1994934082031,179.36178588867188,621.9119262695312,851.1630859375,546.6377563476562,3087.56494140625,543.8136596679688,76.16285705566406,135.24403381347656,50.4002799987793,175.41493225097656,272.6802062988281,892.369384765625,752.2084350585938,131.37550354003906,492.8167419433594,13.5821533203125,1044.5535888671875,493.7394714355469,352.8357238769531,140.97662353515625,2571.980712890625,191.96690368652344
2015-01-07,70.9671401977539,304.7119140625,1066.4251708984375,714.41845703125,482.61627197265625,1888.30859375,122.19231414794922,339.26641845703125,27.054628372192383,303.88641357421875,62.10898971557617,878.3364868164062,577.3900756835938,163.3405303955078,451.5957336425781,1293.4635009765625,499.3076171875,291.1103820800781,437.0826110839844,2265.032958984375,138.84219360351562,687.0004272460938,279.86956787109375,745.7506103515625,381.0137939453125,176.02597045898438,631.9263305664062,849.1258544921875,552.277099609375,3126.214111328125,546.09033203125,77.99578857421875,137.23321533203125,51.12399673461914,179.23329162597656,272.9075012207031,887.7174682617188,753.3714599609375,131.6415252685547,485.3959655761719,13.321812629699707,1032.2149658203125,491.4324035644531,354.6343688964844,144.63485717773438,2561.820556640625,190.50579833984375
2015-01-08,73.7634506225586,317.4754943847656,1085.5562744140625,759.4572143554688,485.8101501464844,1890.77734375,128.2842559814453,338.6889343261719,26.47783660888672,309.1510314941406,65.25321197509766,866.6517944335938,583.2869873046875,165.4111785888672,455.6225891113281,1286.0103759765625,500.3961181640625,297.8465881347656,446.2637023925781,2272.611328125,142.24566650390625,699.9796752929688,287.4817199707031,752.1068725585938,382.9347839355469,180.4322509765625,666.2933959960938,854.5300903320312,558.3450927734375,3160.54296875,548.4841918945312,79.30894470214844,138.7555694580078,51.346675872802734,176.66323852539062,277.180908203125,899.1553955078125,761.7442626953125,136.2970733642578,503.23529052734375,13.529054641723633,1043.3577880859375,499.65740966796875,353.0250244140625,145.98548889160156,2626.731201171875,191.87887573242188
2015-01-09,73.0283432006836,314.24908447265625,1083.917724609375,752.18994140625,479.0352478027344,1833.2532958984375,127.22996520996094,334.84552001953125,26.96369743347168,304.5712585449219,65.42171478271484,856.13330078125,596.6378784179688,163.4931182861328,470.110107421875,1274.3382568359375,497.4156799316406,300.0304870605469,451.2589416503906,2278.894287109375,144.5301971435547,740.716552734375,282.8482666015625,755.21435546875,402.5331726074219,177.6938934326172,676.3823852539062,848.984375,558.6157836914062,3153.904052734375,555.962158203125,76.73737335205078,142.49037170410156,51.38378143310547,180.49212646484375,275.6806640625,905.727783203125,772.2103271484375,137.98194885253906,513.3589477539062,13.690055847167969,1072.6036376953125,521.7918090820312,353.0250244140625,143.04623413085938,2628.560791015625,194.8715057373047
2015-01-12,74.16703796386719,311.6868591308594,1077.942138671875,747.7926635742188,485.4229736328125,1800.9610595703125,126.08618927001953,333.6954040527344,27.071895599365234,298.7075500488281,65.13764190673828,850.2799072265625,595.1282958984375,155.99525451660156,476.5663757324219,1284.6229248046875,501.94488525390625,305.85418701171875,447.28125,2236.93017578125,140.8936309814453,768.1314086914062,286.7369689941406,781.0631103515625,410.58599853515625,178.1668701171875,681.377197265625,868.1964111328125,556.2698364257812,3149.08447265625,562.61328125,76.6005630493164,141.1506805419922,50.66006851196289,178.3940887451172,279.2267150878906,888.4429321289062,777.0943603515625,139.53379821777344,513.3589477539062,13.590714454650879,1071.4935302734375,536.1294555664062,356.7171630859375,140.7191162109375,2600.583740234375,195.76925659179688
2015-01-13,71.59415435791016,306.51495361328125,1108.446044921875,771.9552001953125,488.27813720703125,1793.3223876953125,127.95108032226562,338.04351806640625,28.064653396606445,296.4390869140625,64.47797393798828,850.8960571289062,600.459228515625,157.45558166503906,478.9586181640625,1279.5648193359375,518.133056640625,307.4169616699219,445.56988525390625,2203.457763671875,141.4530792236328,757.8079833984375,282.0621643066406,777.3434448242188,405.3371276855469,179.287109375,692.2861328125,859.8779296875,563.3980102539062,3153.949462890625,584.5423583984375,76.02606964111328,138.00453186035156,50.4188346862793,176.89401245117188,277.4082336425781,887.290771484375,775.0477294921875,137.6715850830078,510.5577087402344,13.41087818145752,1066.45556640625,537.5115966796875,352.36236572265625,138.28518676757812,2714.4189453125,198.3921661376953
2015-01-14,70.822998046875,314.34393310546875,1118.517822265625,780.1019897460938,483.5357360839844,1823.6854248046875,124.74346160888672,366.2817077636719,27.69500160217285,296.0111083984375,62.75900650024414,856.4634399414062,595.7415161132812,158.32745361328125,476.71490478515625,1282.5389404296875,521.120849609375,306.48516845703125,445.8243408203125,2210.95947265625,132.5481414794922,791.6483154296875,278.7525939941406,769.0097045898438,413.0503845214844,173.1631622314453,691.4163818359375,859.0289916992188,558.0517578125,3197.372314453125,590.392333984375,75.3695068359375,139.66897583007812,50.49305725097656,175.1736602783203,277.0445251464844,882.766845703125,763.4653930664062,137.31687927246094,511.4422912597656,12.909041404724121,1076.7236328125,543.439453125,351.7943115234375,135.59371948242188,2801.4326171875,194.32577514648438
